Data,Fechamento
14/11/2024,56.84
13/11/2024,57.16
12/11/2024,57.32
11/11/2024,58.65
08/11/2024,60.63
07/11/2024,63.56
06/11/2024,61.42
05/11/2024,62.12
04/11/2024,62.67
01/11/2024,62.03
31/10/2024,62.06
30/10/2024,62.47
29/10/2024,62.66
28/10/2024,62.88
25/10/2024,61.73
24/10/2024,59.7
23/10/2024,59.35
22/10/2024,60.41
21/10/2024,60.33
18/10/2024,60.55
17/10/2024,60.76
16/10/2024,62.34
15/10/2024,61.17
14/10/2024,61.93
11/10/2024,62.13
10/10/2024,61.25
09/10/2024,60.96
08/10/2024,61.12
07/10/2024,63.03
04/10/2024,62.48
03/10/2024,62.94
02/10/2024,64.17
01/10/2024,63.82
30/09/2024,63.51
27/09/2024,63.96
26/09/2024,64.25
25/09/2024,60.61
24/09/2024,60.34
23/09/2024,57.53
20/09/2024,57.35
19/09/2024,58.23
18/09/2024,57.54
17/09/2024,58.22
16/09/2024,58.5
13/09/2024,58.5
12/09/2024,58.11
11/09/2024,57.59
10/09/2024,56.0
09/09/2024,56.68
06/09/2024,56.76
05/09/2024,57.4
04/09/2024,56.99
03/09/2024,56.55
02/09/2024,58.74
30/08/2024,59.58
29/08/2024,59.3
28/08/2024,59.37
27/08/2024,59.8
26/08/2024,58.05
23/08/2024,57.4
22/08/2024,58.38
21/08/2024,58.3
20/08/2024,57.2
19/08/2024,56.98
16/08/2024,56.08
15/08/2024,56.23
14/08/2024,56.0
13/08/2024,56.52
12/08/2024,56.77
09/08/2024,57.06
08/08/2024,56.85
07/08/2024,57.2
06/08/2024,57.31
05/08/2024,57.02
02/08/2024,57.63
01/08/2024,58.44
31/07/2024,59.78
30/07/2024,58.42
29/07/2024,59.74
26/07/2024,59.63
25/07/2024,58.76
24/07/2024,58.78
23/07/2024,58.43
22/07/2024,59.22
19/07/2024,59.29
18/07/2024,59.34
17/07/2024,59.9
16/07/2024,60.46
15/07/2024,61.1
12/07/2024,61.03
11/07/2024,60.15
10/07/2024,60.31
09/07/2024,61.13
08/07/2024,61.21
05/07/2024,61.69
04/07/2024,61.95
03/07/2024,62.26
02/07/2024,61.04
01/07/2024,61.25
28/06/2024,60.36
27/06/2024,59.72
26/06/2024,59.56
25/06/2024,58.83
24/06/2024,59.08
21/06/2024,59.01
20/06/2024,59.56
19/06/2024,59.03
18/06/2024,58.84
17/06/2024,58.57
14/06/2024,58.8
13/06/2024,59.01
12/06/2024,58.34
11/06/2024,59.15
10/06/2024,59.24
07/06/2024,58.6
06/06/2024,59.38
05/06/2024,58.56
04/06/2024,59.41
03/06/2024,60.02
31/05/2024,61.31
29/05/2024,61.35
28/05/2024,61.98
27/05/2024,63.34
24/05/2024,63.13
23/05/2024,63.1
22/05/2024,63.48
21/05/2024,63.98
20/05/2024,64.17
17/05/2024,64.2
16/05/2024,62.97
15/05/2024,62.51
14/05/2024,62.69
13/05/2024,62.73
10/05/2024,62.36
09/05/2024,62.58
08/05/2024,62.07
07/05/2024,62.65
06/05/2024,62.26
03/05/2024,62.07
02/05/2024,62.0
30/04/2024,61.39
29/04/2024,61.99
26/04/2024,60.86
25/04/2024,60.36
24/04/2024,61.66
23/04/2024,60.9
22/04/2024,61.43
19/04/2024,61.46
18/04/2024,60.47
17/04/2024,60.25
